age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
66,6,16984,15,9,1,14,0,4,0,0,0,39,39,0
9,4,8264,0,7,1,0,0,4,0,0,0,39,20,0
23,6,16035,11,8,1,12,0,4,1,0,0,39,39,0
57,4,13249,9,12,1,7,0,4,0,0,0,39,39,0
48,6,14386,9,12,0,13,3,2,0,0,0,29,39,0
13,2,18020,11,8,0,13,1,4,0,71,0,37,39,0
55,6,18680,5,11,1,3,0,4,0,0,0,39,39,0
33,4,19975,11,8,1,12,0,4,0,0,0,39,39,0
7,4,3760,11,8,0,14,1,4,0,0,0,39,39,0
64,4,13650,2,12,1,8,0,4,1,0,0,39,39,0
72,4,9947,7,11,0,13,2,1,0,0,0,39,39,0
25,4,258,7,11,0,7,1,4,1,0,0,70,39,0
6,2,7594,9,12,0,14,3,4,0,93,0,44,39,0
13,4,21388,11,8,0,10,3,4,0,0,0,39,39,0
6,4,16672,1,5,0,3,1,4,0,0,0,19,39,0
28,4,7293,9,12,0,8,1,4,0,0,0,50,39,0
12,5,16755,7,9,1,1,0,4,0,0,0,39,39,0
40,4,170,8,14,1,4,0,4,0,0,0,3,16,0
12,5,5844,15,9,0,8,4,4,1,0,0,49,21,0
2,4,1244,15,9,0,4,4,4,0,0,0,39,40,0
55,4,1269,8,10,1,12,0,4,0,0,0,39,39,0
18,4,10771,11,8,1,1,0,4,0,0,0,14,39,0
68,4,12946,11,8,1,7,0,4,1,0,0,87,39,0
12,6,13862,9,12,0,8,4,4,1,0,0,39,39,0
62,4,3372,7,6,1,4,0,4,0,0,0,39,28,0
30,4,12224,8,13,0,12,2,4,0,0,0,24,39,0
61,7,9260,11,8,1,8,0,4,0,0,0,39,39,0
8,7,16312,11,8,1,10,0,4,1,0,0,16,39,0
33,4,16435,1,9,0,0,1,4,0,0,0,39,39,0
19,2,12305,11,8,1,12,5,4,1,0,0,39,39,0
11,4,9050,15,9,1,8,0,2,1,0,0,47,26,0
20,5,68,11,8,1,12,0,4,0,85,0,39,39,0
28,4,8261,9,12,0,0,1,4,1,19,0,39,39,0
30,4,1775,3,8,0,4,2,4,0,0,0,39,39,1
38,3,14553,9,12,0,10,1,4,0,0,0,39,39,0
26,4,361,0,5,0,8,3,2,0,94,0,57,22,0
70,2,3954,12,13,1,0,0,4,0,32,0,39,39,0
61,5,14556,11,2,0,3,1,4,0,0,0,39,39,0
50,4,6405,8,10,0,14,1,4,0,0,0,59,39,0
35,4,19026,12,8,1,4,0,4,0,28,18,39,6,0
20,4,14733,11,8,0,12,3,4,0,0,0,39,39,0
11,4,15960,11,8,1,14,0,4,0,0,0,44,39,0
32,7,1644,11,8,1,14,0,4,0,0,0,56,17,0
7,4,8023,11,14,1,3,0,4,1,0,0,49,39,1
52,4,11183,11,12,0,10,1,4,0,0,0,6,31,0
19,4,18507,6,12,0,13,3,4,0,0,0,19,39,1
70,4,3103,11,8,1,12,0,4,0,0,0,43,39,0
39,4,5349,1,6,0,5,1,4,0,0,0,24,39,0
30,4,840,11,8,0,1,1,0,1,0,0,39,39,1
33,4,18391,15,9,0,8,1,4,1,0,0,39,39,1
28,4,16189,11,8,1,4,0,4,1,0,0,44,19,0
35,8,15579,9,12,0,1,1,4,1,0,0,17,39,0
11,6,21427,15,9,0,12,1,4,0,0,0,39,39,0
58,4,10967,9,12,0,1,3,2,0,98,0,13,39,0
52,0,11140,11,8,1,8,0,4,1,0,0,49,39,0
1,4,3342,9,5,0,14,1,4,0,0,0,92,39,1
15,4,15795,9,7,1,4,0,2,0,0,0,44,39,0
10,0,6291,0,3,1,3,0,4,0,0,0,80,39,0
16,0,11283,9,12,0,9,1,4,1,0,68,17,39,0
38,4,19177,7,3,0,13,1,4,0,0,0,39,39,0
36,4,20792,4,6,1,12,0,4,0,0,0,39,39,0
16,0,7181,9,12,0,10,3,4,1,108,0,16,39,0
10,4,15841,7,14,1,4,0,4,0,82,0,44,39,1
56,6,7994,11,8,0,12,4,4,0,0,0,59,39,0
11,4,10919,11,8,1,12,0,0,0,0,0,39,39,0
18,8,14533,6,8,0,13,1,4,0,0,0,39,39,0
15,4,16813,12,9,0,1,3,4,0,0,0,27,39,0
3,7,5575,15,9,1,1,0,4,1,0,0,49,39,0
14,4,9824,15,9,1,10,0,4,0,0,0,39,39,0
67,4,21262,7,11,0,0,1,4,0,0,0,34,39,0
13,7,12960,12,5,1,12,0,4,0,0,0,79,39,1
28,4,18158,9,12,0,14,4,2,0,0,0,39,39,0
1,4,1301,1,9,0,4,3,4,0,0,0,39,39,0
15,4,14142,9,12,1,8,0,4,0,0,0,39,39,0
20,4,6624,14,9,0,14,3,4,0,0,0,39,39,0
56,0,12006,15,9,0,2,5,4,1,0,53,59,39,0
26,4,12754,9,12,1,4,0,4,0,0,0,59,39,1
34,2,15252,15,9,1,4,0,4,0,0,0,39,39,1
62,4,14460,9,12,0,14,3,4,1,0,0,39,39,1
25,4,8141,11,3,0,8,4,4,0,0,0,58,39,0
20,4,18015,11,8,0,1,3,4,0,0,0,39,39,1
2,4,21540,9,12,0,12,3,4,1,0,0,29,11,0
10,1,3237,1,6,0,10,1,4,0,0,0,72,39,0
2,4,14076,11,8,0,7,1,4,1,0,0,34,39,0
34,4,10983,9,5,1,0,5,4,1,0,0,54,39,1
54,4,12242,15,9,0,8,4,4,1,77,54,49,22,1
11,0,6430,15,9,0,4,3,4,0,0,0,39,39,0
63,1,1431,9,12,0,12,0,2,0,0,0,19,39,1
6,4,9348,4,12,1,12,0,4,1,32,9,39,39,0
57,4,6561,9,12,1,10,0,4,1,45,0,39,39,0
25,6,2192,11,8,1,8,0,2,1,0,0,39,39,0
7,4,885,1,6,0,6,1,4,0,0,0,49,39,0
0,8,18205,15,9,1,8,0,4,1,112,0,39,0,0
68,6,7266,11,8,0,10,4,4,1,0,0,39,39,1
11,1,6010,11,8,1,3,0,4,1,0,0,31,39,0
54,4,8009,9,12,1,1,0,4,0,0,0,39,39,0
39,4,12230,11,8,0,4,3,4,0,0,0,5,39,0
12,4,14768,7,11,1,9,0,4,1,85,0,39,39,0
2,4,3608,11,8,0,12,1,4,1,0,0,67,39,0
19,4,21500,9,12,0,0,1,4,1,0,0,39,39,0
39,4,17849,12,13,0,1,4,4,1,0,0,39,39,1
21,1,19938,1,14,1,10,3,2,1,0,0,59,39,1
21,4,15811,11,8,0,1,1,4,0,0,0,39,28,0
11,4,1236,0,10,0,7,4,4,1,0,0,36,39,0
35,4,2984,15,9,1,6,0,4,0,0,0,72,39,0
9,4,7579,11,8,1,7,0,4,1,0,0,39,39,1
37,0,502,15,9,0,12,5,4,0,33,0,20,39,0
10,4,1261,15,9,1,8,0,3,0,0,0,39,39,0
51,4,5919,8,8,1,4,0,2,0,53,0,20,39,0
19,4,8244,7,7,1,14,0,2,1,0,0,39,39,1
22,2,12530,9,12,1,12,0,4,0,0,0,39,39,0
56,4,1644,15,9,1,4,5,4,1,0,0,39,39,1
34,2,12346,8,13,1,8,0,4,1,4,0,44,39,0
48,4,9698,9,9,1,6,0,4,1,31,0,19,39,1
16,2,12959,7,5,1,10,3,4,0,0,0,39,0,0
37,4,3392,9,12,1,11,0,4,0,0,0,39,30,0
41,4,9567,11,8,1,4,0,2,0,0,0,19,39,0
7,4,2409,9,3,0,12,1,4,0,0,0,91,39,1
72,4,14920,11,8,1,3,0,4,0,0,0,39,39,0
53,1,1403,11,8,0,14,4,4,0,0,0,9,39,0
19,4,19466,11,8,1,9,5,4,0,68,0,39,19,0
7,4,8388,11,8,1,4,0,4,0,0,20,39,39,0
40,4,18307,1,8,1,4,0,4,0,0,0,39,39,1
6,4,9313,8,10,0,14,4,4,1,0,0,49,39,0
18,0,1557,7,11,1,3,0,2,0,0,0,31,36,0
11,6,5095,12,13,0,1,4,4,0,0,0,91,39,1
16,2,21067,15,9,0,1,1,4,0,0,0,53,39,0
20,8,10149,15,9,1,7,2,4,0,0,0,15,39,0
17,4,19704,12,14,0,12,4,4,0,0,27,39,39,0
6,4,20563,5,10,0,1,3,4,0,3,0,39,39,0
6,4,13172,15,9,0,6,4,4,0,0,0,49,39,0
15,4,20887,15,9,1,10,1,4,1,0,0,39,39,0
19,6,14105,15,9,0,10,1,4,0,0,0,39,39,1
15,0,8526,15,9,0,5,1,4,0,0,0,38,39,0
39,4,15498,11,6,0,5,1,0,0,49,0,39,39,0
19,6,12777,8,10,1,8,5,4,0,0,0,32,39,1
64,4,10617,2,4,1,12,0,4,0,0,0,59,39,0
14,4,5758,15,9,0,11,3,4,0,0,0,82,39,0
20,7,14632,15,9,0,12,1,4,1,0,0,19,39,0
14,4,1275,5,3,1,8,0,4,1,0,0,49,39,0
19,4,1459,5,14,1,9,3,4,1,0,0,49,34,0
28,4,15583,15,9,1,8,0,4,0,0,0,29,39,0
25,4,17882,9,12,1,7,0,2,0,0,0,63,39,0
24,3,10078,9,12,0,8,1,4,0,0,0,12,39,1
47,4,7471,11,8,1,7,0,4,0,0,0,83,39,1
12,4,15859,8,10,1,4,0,4,0,0,0,39,39,0
8,4,20237,15,9,1,14,0,4,0,0,0,42,39,1
20,4,3854,15,9,0,10,1,4,0,0,0,49,39,0
72,4,6977,9,12,1,7,0,4,0,0,0,39,39,0
27,4,11489,8,10,0,3,1,4,0,0,0,44,39,0
47,4,21009,1,14,0,3,1,4,1,0,0,34,39,1
66,7,20377,9,12,0,14,1,4,1,0,72,39,39,0
26,4,15880,15,9,1,1,0,4,0,89,0,64,39,0
17,4,20203,7,11,0,10,1,4,1,0,0,39,23,1
25,4,2694,11,8,0,4,4,4,0,0,0,39,39,0
25,7,18811,11,8,1,11,0,4,0,0,0,3,39,0
30,4,11842,11,8,0,3,4,4,0,0,0,4,39,0
27,5,2268,12,0,0,9,1,4,1,0,0,19,39,0
14,4,20336,15,9,0,3,3,4,0,0,0,19,39,0
0,4,3154,15,9,1,12,3,4,0,0,0,39,39,0
6,4,19324,15,9,0,3,3,4,0,0,0,43,39,1
65,4,1867,11,4,0,2,3,4,0,0,0,27,39,1
2,4,10219,9,12,0,12,1,4,0,0,0,39,39,0
22,4,7376,11,8,0,12,1,4,0,0,0,39,39,1
8,1,13681,15,9,0,3,3,4,1,0,0,39,39,0
38,4,21070,4,6,0,3,4,4,1,0,0,34,39,1
52,0,14133,11,8,0,10,1,4,0,0,0,39,39,1
1,4,19088,12,3,1,4,0,4,0,0,0,39,8,0
1,2,16592,11,8,1,0,0,4,1,0,0,27,39,0
18,2,5311,15,9,1,12,0,4,0,25,0,3,39,1
35,0,3042,1,10,0,1,3,4,1,56,0,74,25,0
18,4,4346,15,9,1,3,0,4,0,0,0,62,39,0
57,4,4048,11,8,0,9,3,2,0,41,0,39,39,1
43,2,15789,11,2,1,10,0,4,0,0,0,44,39,0
29,4,3458,15,9,0,3,3,4,1,0,0,76,39,0
31,4,7802,11,8,0,4,3,4,1,0,85,39,39,0
61,2,19626,15,9,1,1,0,4,0,0,0,87,39,0
24,4,21019,15,9,0,14,1,4,1,0,0,39,39,0
5,6,15108,11,8,0,6,1,2,0,0,0,39,39,0
25,4,1402,9,12,0,7,1,2,1,69,0,9,1,1
29,4,10325,11,8,0,3,1,4,1,0,0,58,39,0
24,4,7776,11,8,1,1,0,4,0,0,0,19,39,0
49,4,3446,11,8,1,10,1,4,1,0,0,72,39,0
51,4,9289,11,8,0,8,3,4,0,0,0,9,39,0
48,4,10654,1,6,1,14,0,4,1,0,0,39,39,0
8,0,9641,12,6,0,3,4,4,0,0,0,39,39,0
6,6,8153,9,13,1,3,2,4,0,0,0,39,39,1
13,7,4973,11,8,0,13,2,4,0,30,0,39,39,0
5,4,13823,12,9,1,1,0,4,0,0,0,69,22,0
38,4,15781,11,8,1,8,0,4,0,0,0,39,39,0
66,4,21031,10,6,1,2,5,4,1,0,0,39,39,0
39,2,10926,11,8,0,0,1,4,0,0,0,39,39,0
27,4,17185,11,8,0,5,3,4,0,0,0,39,39,1
65,4,15672,11,8,1,4,0,4,1,0,0,68,39,1
7,2,12612,12,13,0,7,3,4,1,0,0,39,39,0
22,0,17472,11,8,0,7,3,4,1,0,0,39,5,0
49,7,4424,9,12,0,1,1,2,1,0,0,7,39,0
19,4,8220,9,12,0,6,4,4,0,64,0,59,39,0
28,4,9504,15,9,1,12,0,4,1,0,0,39,39,0
16,4,5669,11,8,0,7,1,4,0,0,0,39,39,1
24,4,16888,9,12,0,10,3,2,1,0,0,39,39,0
47,5,14204,0,3,0,10,4,4,0,0,0,39,39,1
65,4,19630,3,3,0,10,1,4,0,0,0,39,39,1
24,4,492,12,13,1,6,1,4,1,0,0,59,39,0
36,8,16437,12,12,1,3,5,4,1,0,0,70,39,1
49,4,9614,9,12,0,12,5,4,0,0,12,39,39,0
33,4,15399,11,8,0,3,1,4,0,0,0,27,39,0
41,4,8628,8,5,0,12,3,4,1,0,0,39,39,0
12,4,8548,15,9,0,11,4,4,0,0,0,67,39,0
38,4,1152,15,9,1,10,0,4,0,0,0,39,39,0
13,4,13485,15,9,0,8,4,4,0,0,0,39,39,0
8,4,20914,5,5,0,3,0,4,0,0,70,39,39,1
24,4,9726,11,5,1,1,0,4,0,43,0,51,39,0
68,6,15934,1,13,0,4,2,4,0,0,17,39,35,0
72,4,19079,11,8,0,8,4,4,0,0,0,28,39,1
13,4,17487,15,9,0,4,4,4,1,0,0,43,39,0
48,4,10252,15,9,0,3,1,4,0,0,0,39,39,0
15,4,2521,13,8,0,1,1,4,1,0,0,39,39,0
23,4,1940,11,8,1,10,0,4,1,0,58,44,39,1
24,4,309,9,1,1,1,0,4,0,0,0,59,39,0
44,4,12501,15,9,0,3,1,4,0,0,0,39,39,0
71,4,21037,14,7,0,10,1,4,0,0,0,42,39,0
21,2,11978,6,4,0,3,1,4,1,0,0,59,39,1
6,4,6079,9,12,0,4,3,4,1,0,0,59,39,0
6,4,11109,11,8,1,8,0,4,0,0,0,39,39,0
49,3,18862,11,8,0,6,3,4,0,0,0,39,39,0
70,4,20472,11,8,1,7,0,2,0,0,0,49,39,0
68,0,13013,9,12,1,12,0,4,0,0,0,39,39,0
50,4,8745,11,8,0,1,4,4,0,0,0,49,39,0
14,1,14834,1,7,1,0,0,4,1,0,0,51,39,0
25,4,19058,9,10,0,4,1,4,0,0,0,47,39,0
16,4,14915,11,8,0,13,3,4,0,0,0,39,39,0
72,4,10367,9,12,0,3,4,4,1,0,0,49,39,0
17,4,12211,11,8,0,6,2,4,1,0,0,72,39,1
18,4,17124,15,11,0,8,1,4,1,0,0,24,39,1
42,4,12219,9,3,0,14,4,4,0,0,0,39,39,0
34,4,10275,11,8,0,5,3,4,0,0,0,29,26,0
0,6,9960,7,6,0,1,5,4,0,0,0,59,39,0
48,4,5858,15,9,1,11,0,4,0,0,0,31,39,0
27,4,4959,15,9,0,6,1,4,0,0,0,86,39,0
13,4,10175,9,12,0,3,3,4,0,0,0,54,39,0
20,4,4513,8,10,0,4,4,4,1,0,0,25,39,0
60,4,20642,3,6,0,1,1,4,1,0,0,39,39,0
12,4,7838,11,7,1,4,0,4,0,0,0,44,39,0
28,4,17460,12,13,0,2,3,4,0,0,0,39,39,0
60,4,20431,2,0,1,4,0,4,1,0,0,71,39,1
4,2,8880,9,12,0,3,4,4,0,0,0,39,39,0
29,4,2207,12,13,1,10,5,4,0,0,0,49,39,0
24,4,2887,0,8,1,0,0,4,0,0,0,39,39,0
50,4,13262,15,9,1,8,0,4,0,0,0,44,13,1
49,4,19627,1,8,0,14,5,4,0,0,0,23,39,0
32,6,21550,15,9,1,1,0,4,1,0,0,27,39,0
23,4,19644,0,9,1,4,0,4,0,0,62,39,39,1
0,4,16806,11,8,1,3,5,4,0,0,0,83,39,0
19,2,674,10,9,0,14,1,4,0,0,0,39,39,1
9,4,5444,11,8,0,10,4,4,0,0,0,16,39,0
9,0,13118,6,9,0,13,1,4,1,0,0,90,22,0
17,4,20565,9,12,0,1,1,4,0,0,0,68,39,0
28,5,6552,9,12,0,12,5,4,0,0,0,17,10,1
5,4,13384,11,8,0,6,1,4,1,0,0,39,19,0
47,4,4971,11,8,0,1,1,4,1,0,0,49,39,1
26,4,16651,9,12,0,14,1,4,0,73,0,39,39,0
12,4,9348,13,13,0,7,4,4,0,0,0,61,11,0
71,5,3384,10,2,1,9,0,4,0,0,0,37,39,1
21,4,4492,9,12,0,12,4,4,1,0,0,35,39,0
29,4,14780,4,2,0,6,4,4,1,0,0,39,39,0
7,6,12990,11,8,0,12,1,4,0,0,0,39,39,0
6,4,20429,9,12,0,13,1,2,0,0,0,39,8,0
2,6,17479,8,9,1,3,0,2,0,0,0,39,39,0
12,4,1241,11,8,0,3,3,4,0,0,0,19,39,0
20,4,8596,11,4,0,3,3,4,0,0,0,39,39,0
30,4,16211,15,9,1,8,0,2,1,89,0,59,39,0
36,5,17918,11,8,0,10,3,4,1,0,0,51,11,0
