id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,r_charge_degree,r_charge_desc,is_violent_recid,vr_charge_degree,vr_charge_desc,v_decile_score,start,end,event
127,1,50,1,5,0,1,0,0,0,1.0,0,436,1,8,278,0,9,83,2,0,182,1
128,1,25,0,0,1,10,6,1,14,1.0,0,436,1,7,243,1,6,35,10,6,100,1
130,1,20,2,5,0,5,0,0,0,1.0,0,383,1,2,251,1,1,4,8,0,119,1
131,1,22,2,0,1,9,0,0,2,0.0,0,39,1,7,243,0,9,83,10,30,175,1
132,1,23,2,0,0,7,0,1,2,192.0,1,436,1,8,148,0,9,83,8,0,137,0
136,0,35,0,0,0,2,0,0,1,1.0,1,436,0,10,340,0,9,83,1,0,1098,0
137,1,36,0,0,0,7,0,0,9,1.0,0,125,1,7,205,0,9,83,6,4,27,1
138,1,26,0,2,0,8,0,0,7,1.0,0,296,1,7,243,0,9,83,4,0,377,1
139,1,21,2,5,0,6,0,0,1,1.0,0,194,1,7,207,0,9,83,6,4,253,1
142,1,25,0,2,0,8,0,0,9,1.0,0,250,1,8,89,1,6,35,9,0,145,1
143,1,71,1,0,0,7,0,0,12,804.0,1,287,0,10,340,0,9,83,3,0,1183,0
145,0,20,2,2,0,7,0,0,0,1.0,0,284,0,10,340,0,9,83,8,0,869,0
146,1,39,0,2,0,1,0,0,2,3.0,0,300,1,3,224,0,9,83,1,0,63,1
147,1,66,1,2,0,1,0,0,3,64.0,0,180,0,10,340,0,9,83,1,0,877,0
148,0,54,1,2,0,1,0,0,0,1.0,1,105,0,10,340,0,9,83,1,0,1082,0
150,0,44,0,3,0,1,0,0,0,2.0,1,44,0,10,340,0,9,83,1,0,955,0
151,1,19,2,0,0,4,0,0,1,10.0,1,44,1,7,334,1,2,39,7,0,104,1
152,1,24,2,0,0,2,0,0,1,137.0,0,436,0,10,340,0,9,83,3,0,503,0
153,1,30,0,0,0,2,0,0,1,1.0,0,154,0,10,340,0,9,83,2,0,935,0
154,0,39,0,2,0,1,0,0,0,1.0,0,14,1,7,27,1,6,35,1,1,52,1
156,1,24,2,2,0,6,1,2,8,0.0,0,165,1,2,197,0,9,83,6,11,27,1
157,1,30,0,2,0,4,0,0,0,1.0,0,311,0,10,340,0,9,83,2,5,497,0
158,1,31,0,2,0,5,0,0,0,1.0,1,44,0,10,340,0,9,83,2,38,770,0
159,0,39,0,2,0,4,0,0,1,1.0,0,325,0,10,340,0,9,83,3,106,392,0
160,1,59,1,0,0,9,0,0,14,265.0,0,436,1,3,7,1,2,13,4,0,178,1
163,1,43,0,2,0,1,0,0,1,30.0,0,318,0,10,340,0,9,83,1,0,960,0
166,1,21,2,0,0,9,0,0,3,1.0,0,194,1,7,243,0,9,83,6,5,24,1
169,1,38,0,2,0,4,0,0,5,1.0,1,287,1,3,220,0,9,83,3,2,55,1
171,1,34,0,2,0,5,0,0,0,0.0,0,17,0,10,340,0,9,83,5,15,441,0
173,1,33,0,0,0,5,0,0,5,1.0,0,257,1,7,205,0,9,83,2,0,345,1
174,1,37,0,0,0,2,0,0,3,0.0,0,284,0,10,340,0,9,83,1,1,102,0
175,1,42,0,2,0,2,0,0,1,1.0,0,12,1,3,6,0,9,83,2,1,2,1
176,1,41,0,0,0,9,1,0,10,0.0,0,318,1,7,243,0,9,83,7,176,285,1
177,1,22,2,0,0,4,0,0,0,1.0,0,426,1,3,331,0,9,83,7,0,394,1
178,1,33,0,0,0,8,12,2,28,1.0,0,141,1,8,173,0,9,83,5,1,83,1
180,1,31,0,0,0,7,0,0,1,1.0,1,44,0,10,340,0,9,83,8,0,900,0
182,0,30,0,5,0,2,0,0,1,1.0,0,90,0,10,340,0,9,83,2,0,97,0
183,1,31,0,2,0,10,0,0,13,0.0,0,436,1,2,40,1,6,35,7,0,55,1
184,1,27,0,0,0,9,0,0,3,1.0,0,318,1,3,119,0,9,83,4,0,249,1
187,1,56,1,0,0,9,0,0,8,79.0,0,436,0,10,340,0,9,83,3,0,67,0
189,1,52,1,2,0,9,0,0,3,2.0,1,44,0,10,340,0,9,83,6,0,977,0
190,1,33,0,0,0,10,0,0,19,1.0,0,436,1,8,179,0,9,83,7,0,222,0
192,0,64,1,2,0,1,0,0,2,48.0,1,342,0,10,340,0,9,83,1,0,732,0
193,1,22,2,2,0,6,0,0,4,36.0,0,300,1,8,179,0,9,83,8,0,139,0
194,1,42,0,2,0,3,0,0,6,5.0,0,300,0,10,340,0,9,83,1,0,408,0
195,0,25,0,2,0,4,0,0,2,1.0,0,436,0,10,340,0,9,83,5,2,359,0
197,1,30,0,2,0,2,0,0,1,20.0,1,6,0,10,340,0,9,83,2,0,864,0
199,1,28,0,2,0,1,0,0,2,161.0,0,436,0,10,340,0,9,83,2,0,946,0
200,0,37,0,5,0,2,0,0,2,222.0,1,247,0,10,340,0,9,83,1,1,823,0
202,1,28,0,2,0,2,0,0,0,1.0,1,136,1,7,332,0,9,83,3,0,60,0
203,0,24,2,0,0,2,0,0,0,1.0,1,44,0,10,340,0,9,83,3,1,784,0
206,0,29,0,2,0,4,1,0,10,1.0,0,194,1,3,331,0,9,83,2,6,40,0
208,1,44,0,2,0,2,0,0,2,1.0,1,44,1,7,332,0,9,83,1,0,216,1
209,0,30,0,3,0,5,0,0,4,36.0,0,50,1,7,27,1,6,35,5,0,37,1
210,1,32,0,0,0,7,0,0,3,1.0,0,318,1,3,221,0,9,83,3,7,413,0
213,1,31,0,2,0,3,0,0,2,16.0,1,342,1,7,285,0,9,83,3,0,48,1
215,1,31,0,0,0,2,0,0,1,1.0,1,219,1,8,89,0,9,83,3,0,1140,1
216,1,59,1,2,0,2,0,0,1,1.0,0,318,1,8,96,0,9,83,1,0,164,1
218,0,45,1,2,0,4,0,0,4,375.0,0,436,0,10,340,0,9,83,3,0,1073,0
220,0,20,2,0,1,10,0,0,1,0.0,0,436,0,10,340,0,9,83,10,3,119,0
222,0,43,0,2,0,1,0,0,0,0.0,1,105,0,10,340,0,9,83,1,1,1053,0
223,1,38,0,0,1,8,1,0,9,1.0,0,318,1,7,243,0,9,83,4,12,129,1
224,1,32,0,0,0,6,0,0,11,2.0,0,268,1,3,194,1,0,59,5,0,24,1
225,1,33,0,0,0,5,0,0,8,1.0,1,30,1,7,205,1,6,35,2,0,187,1
227,0,31,0,0,0,3,0,0,0,1.0,0,326,1,8,315,0,9,83,2,1,76,0
228,0,33,0,0,0,9,0,0,7,1.0,0,318,1,8,233,0,9,83,9,25,275,1
229,1,27,0,0,0,9,0,0,2,1.0,0,383,1,7,205,0,9,83,8,0,18,0
231,0,20,2,0,0,6,0,0,0,1.0,0,194,0,10,340,0,9,83,8,0,846,0
232,0,26,0,2,0,6,0,0,0,2.0,1,153,0,10,340,0,9,83,3,0,795,0
234,0,61,1,0,0,1,0,0,1,1.0,0,370,1,8,179,0,9,83,1,0,544,1
235,1,52,1,5,0,7,0,0,13,1.0,0,177,1,8,179,0,9,83,6,1,36,0
236,1,63,1,3,0,1,0,0,1,26.0,0,436,0,10,340,0,9,83,1,0,786,0
238,0,32,0,0,0,10,0,0,4,7.0,0,436,1,3,7,1,2,13,9,0,395,1
239,1,29,0,3,0,4,0,0,1,1.0,0,194,0,10,340,0,9,83,4,0,938,0
240,0,46,1,5,0,2,0,0,1,72.0,0,193,0,10,340,0,9,83,1,0,1177,0
241,0,26,0,0,0,4,0,0,2,1.0,1,140,1,8,278,0,9,83,4,0,229,1
242,1,55,1,0,0,1,0,0,3,52.0,1,44,0,10,340,0,9,83,1,0,1009,0
243,1,39,0,2,1,4,0,0,1,1672.0,1,437,0,10,340,0,9,83,4,3,780,0
244,0,30,0,2,0,7,0,0,3,1.0,0,304,1,3,131,0,9,83,4,0,14,1
245,1,30,0,0,0,7,0,0,1,1.0,0,56,0,10,340,0,9,83,8,70,367,0
246,1,48,1,2,0,2,0,0,2,1.0,1,44,0,10,340,0,9,83,1,0,918,0
248,1,22,2,0,0,2,0,0,1,1.0,0,436,0,10,340,0,9,83,4,0,547,0
249,1,46,1,2,0,1,0,0,6,31.0,0,141,1,8,278,0,9,83,1,0,22,1
251,0,49,1,2,0,6,0,0,6,56.0,0,90,0,10,340,0,9,83,2,0,744,0
252,1,31,0,2,0,5,0,0,0,1.0,0,121,0,10,340,0,9,83,4,2,719,0
254,1,25,0,0,0,2,0,0,1,1.0,1,44,1,8,234,0,9,83,3,1,31,1
257,1,23,2,3,0,3,0,0,0,2.0,0,284,0,10,340,0,9,83,5,0,935,0
258,0,32,0,0,0,7,0,0,5,1.0,0,15,0,10,340,0,9,83,3,0,1138,0
259,1,52,1,3,0,1,0,0,2,1.0,1,210,0,10,340,0,9,83,1,2,108,0
260,1,62,1,0,0,4,0,0,8,1.0,0,318,0,10,340,0,9,83,1,16,1151,0
262,0,37,0,2,0,10,0,0,6,111.0,0,318,0,10,340,0,9,83,4,0,417,0
263,1,55,1,2,0,1,0,0,1,45.0,0,194,0,10,340,0,9,83,1,0,934,0
264,1,31,0,3,0,9,0,0,8,61.0,0,436,1,7,318,0,9,83,7,0,29,0
265,1,28,0,0,0,6,0,0,6,1.0,1,342,1,8,103,1,1,9,6,0,482,1
266,1,54,1,3,0,1,0,0,2,1.0,0,65,0,10,340,0,9,83,1,187,946,0
267,1,58,1,3,0,2,0,0,0,1.0,0,309,0,10,340,0,9,83,1,0,302,0
268,1,78,1,2,0,1,0,0,1,1.0,1,140,1,3,149,0,9,83,1,0,310,1
269,1,56,1,2,0,1,0,0,0,1.0,0,318,0,10,340,0,9,83,1,0,760,0
271,1,24,2,5,0,2,0,0,0,1.0,0,65,0,10,340,0,9,83,4,1,808,0
272,1,38,0,0,2,8,2,1,22,35.0,0,74,1,7,205,0,9,83,5,0,238,1
275,1,22,2,0,0,5,0,0,1,1.0,0,250,1,8,173,0,9,83,5,0,200,1
277,1,47,1,0,0,8,0,0,23,1.0,1,287,1,3,137,0,9,83,1,0,9,1
278,1,23,2,0,0,2,0,0,0,1.0,1,44,1,7,99,0,9,83,4,0,176,1
279,1,57,1,3,0,1,0,0,1,0.0,0,141,0,10,340,0,9,83,1,20,889,0
280,0,38,0,2,0,5,0,0,2,35.0,0,318,1,7,318,0,9,83,2,0,155,1
281,1,66,1,0,0,1,0,0,3,10.0,0,5,1,7,27,1,6,35,1,0,943,1
282,1,45,1,2,0,4,0,0,8,0.0,1,428,1,7,332,0,9,83,3,71,584,0
285,0,52,1,5,0,3,0,0,0,,1,437,1,8,89,0,9,83,1,0,449,1
286,1,32,0,0,0,10,0,0,13,1.0,0,256,1,3,221,0,9,83,7,0,289,1
287,1,37,0,0,0,9,0,0,2,0.0,1,44,1,7,27,1,6,35,8,0,104,1
288,1,39,0,2,0,4,0,0,0,0.0,0,311,1,7,207,0,9,83,4,1,389,1
289,1,26,0,0,0,9,0,0,9,1.0,0,125,1,3,194,0,9,83,8,79,173,1
291,1,45,1,2,0,3,0,0,2,1.0,0,215,0,10,340,0,9,83,4,358,1155,0
293,1,23,2,0,0,3,0,0,0,1.0,0,317,1,2,256,1,1,69,4,0,320,1
294,1,34,0,0,0,2,0,0,2,1.0,1,44,1,3,340,0,9,83,1,26,758,1
297,0,23,2,0,0,4,0,0,1,1.0,1,44,0,10,340,0,9,83,4,0,954,0
298,1,36,0,5,0,3,0,0,2,1.0,1,44,1,2,199,0,9,83,1,2,598,1
299,1,50,1,2,0,1,0,0,1,4.0,0,364,0,10,340,0,9,83,1,0,879,0
300,0,37,0,2,0,3,0,0,0,1.0,1,212,0,10,340,0,9,83,1,0,875,0
301,1,44,0,2,0,4,0,0,4,0.0,1,44,0,10,340,0,9,83,4,1,1181,0
302,0,35,0,0,0,9,1,0,23,1.0,0,177,1,3,120,0,9,83,9,1,318,1
304,1,24,2,5,0,5,0,0,5,1.0,0,436,1,3,109,0,9,83,4,0,54,1
306,1,26,0,0,0,10,0,0,2,1.0,0,181,1,3,202,0,9,83,8,0,379,1
308,1,27,0,0,0,2,0,0,0,1.0,1,93,0,10,340,0,9,83,3,2,1102,0
310,0,28,0,0,0,8,0,0,0,1.0,0,9,0,10,340,0,9,83,6,29,885,0
311,1,43,0,2,0,5,0,0,11,56.0,0,436,1,7,27,1,6,35,3,0,48,1
313,0,28,0,2,0,9,0,0,7,1.0,0,177,1,3,137,0,9,83,6,0,216,1
315,1,38,0,0,0,1,0,0,2,1.0,0,141,0,10,340,0,9,83,1,0,61,0
316,1,27,0,2,0,4,0,0,2,36.0,1,402,0,10,340,0,9,83,3,0,765,0
317,0,28,0,0,0,9,0,0,1,1.0,0,436,0,10,340,0,9,83,7,38,889,0
319,1,56,1,2,0,1,0,0,7,1.0,0,176,1,8,89,0,9,83,1,0,245,1
320,1,38,0,0,0,9,0,0,15,1.0,0,318,0,10,340,0,9,83,3,1,1137,0
321,1,28,0,0,0,5,0,0,2,2147.0,1,287,0,10,340,0,9,83,4,0,883,0
322,1,45,1,0,0,6,0,0,3,23.0,0,436,0,10,340,0,9,83,4,0,104,0
323,1,28,0,3,0,2,0,0,0,5.0,1,106,0,10,340,0,9,83,3,0,1183,0
325,1,61,1,2,0,1,0,0,1,34.0,0,436,0,10,340,0,9,83,1,0,1108,0
326,0,51,1,2,0,1,0,0,0,1.0,1,140,1,7,27,1,6,35,1,0,169,1
327,1,51,1,2,0,2,0,0,0,1.0,1,44,0,10,340,0,9,83,2,0,883,0
329,1,36,0,5,0,1,0,0,1,1.0,1,287,1,8,89,0,9,83,1,0,229,0
330,1,48,1,0,0,1,0,0,0,1.0,0,20,0,10,340,0,9,83,1,0,1174,0
331,1,37,0,2,0,3,0,0,4,0.0,0,436,1,8,179,0,9,83,4,2,516,1
332,0,30,0,0,0,7,0,0,2,1.0,0,194,0,10,340,0,9,83,4,2,1054,0
333,0,41,0,0,0,6,0,0,5,1.0,1,44,0,10,340,0,9,83,3,0,878,0
334,1,27,0,0,0,10,0,0,11,1.0,0,347,1,3,53,0,9,83,9,222,433,1
335,1,37,0,0,0,1,0,0,0,1.0,1,44,1,7,27,1,6,35,1,1,870,1
336,1,33,0,5,0,4,0,0,4,1.0,0,17,1,7,205,0,9,83,2,2,314,1
337,1,54,1,0,0,9,0,0,11,1.0,0,188,0,10,340,0,9,83,9,129,1060,0
338,1,23,2,0,0,9,0,0,2,1.0,0,348,0,10,340,0,9,83,5,71,1058,0
341,0,26,0,0,0,4,0,0,2,227.0,0,436,1,8,173,0,9,83,6,0,283,1
344,1,41,0,0,0,1,0,0,0,0.0,1,44,0,10,340,0,9,83,1,1,797,0
345,1,52,1,2,0,1,0,0,0,1.0,0,66,0,10,340,0,9,83,1,0,1051,0
347,1,43,0,2,0,4,0,0,13,1.0,0,141,1,3,216,0,9,83,1,51,161,1
348,1,52,1,0,0,4,0,0,0,1.0,0,426,0,10,340,0,9,83,3,13,787,0
349,1,28,0,2,0,1,0,0,1,3.0,0,436,0,10,340,0,9,83,2,0,1050,0
350,1,30,0,0,0,9,0,2,11,1.0,1,44,1,7,301,1,0,69,4,0,119,1
351,1,28,0,2,0,5,0,0,1,0.0,0,93,0,10,340,0,9,83,3,6,917,0
354,1,22,2,0,0,4,0,0,0,1.0,0,250,0,10,340,0,9,83,6,0,1134,0
355,1,30,0,0,0,2,0,0,4,0.0,0,141,0,10,340,0,9,83,2,0,1123,0
356,1,25,0,3,0,4,0,0,4,0.0,0,317,0,10,340,0,9,83,4,1,880,0
357,1,31,0,2,0,8,0,0,0,1.0,0,65,1,2,339,0,9,83,5,30,401,1
358,1,37,0,2,0,2,0,0,0,1.0,0,194,1,7,180,0,9,83,1,34,172,0
359,1,32,0,0,0,9,1,0,14,1.0,0,21,0,10,340,0,9,83,8,0,836,0
360,1,26,0,0,0,8,1,0,4,1562.0,1,287,0,10,340,0,9,83,6,0,649,0
361,1,53,1,2,0,1,0,0,1,1.0,1,44,0,10,340,0,9,83,1,0,1171,0
362,1,28,0,0,0,8,0,0,25,70.0,0,436,1,3,39,0,9,83,9,0,29,0
363,1,44,0,2,0,5,0,0,8,1.0,1,44,1,7,243,0,9,83,3,4,136,1
364,1,25,0,0,0,3,0,0,0,1.0,0,194,0,10,340,0,9,83,4,0,938,0
366,1,22,2,2,0,8,0,1,1,0.0,1,435,1,3,137,0,9,83,7,6,531,1
369,0,37,0,5,0,1,0,0,0,2.0,1,44,0,10,340,0,9,83,1,0,844,0
372,0,40,0,5,0,2,0,0,3,1.0,0,141,0,10,340,0,9,83,1,0,891,0
374,1,36,0,2,0,7,0,0,8,0.0,0,176,1,7,27,1,6,35,9,0,150,1
375,1,30,0,2,0,2,0,0,4,140.0,0,161,0,10,340,0,9,83,2,0,779,0
376,1,22,2,0,0,9,0,0,3,208.0,1,333,1,8,315,1,6,35,9,0,33,1
377,0,24,2,2,0,7,0,0,1,32.0,1,44,1,7,27,1,6,35,5,0,394,1
378,1,27,0,0,0,2,0,0,3,46.0,1,431,1,3,194,0,9,83,3,0,366,1
379,0,31,0,3,0,2,0,0,0,1.0,1,44,0,10,340,0,9,83,2,0,1119,0
381,1,23,2,3,0,6,0,1,1,1.0,0,436,1,3,137,0,9,83,4,0,82,1
382,0,23,2,2,0,5,0,4,5,1.0,0,436,1,7,207,0,9,83,7,0,607,1
383,1,24,2,3,0,8,0,0,0,3.0,1,287,0,10,340,0,9,83,7,0,1152,0
384,1,29,0,0,0,3,0,0,1,1.0,1,44,0,10,340,0,9,83,3,0,731,0
385,1,20,2,0,0,8,0,0,1,1.0,0,71,1,3,218,1,2,54,7,0,104,1
386,1,30,0,0,0,6,0,0,2,1.0,0,71,1,2,185,0,9,83,5,1,55,1
389,1,39,0,5,0,1,0,0,0,1.0,0,389,0,10,340,0,9,83,1,0,204,0
390,1,27,0,0,0,4,0,0,4,1.0,0,436,0,10,340,0,9,83,4,0,700,0
392,1,31,0,2,0,4,0,0,2,1016.0,1,436,1,3,221,0,9,83,3,0,812,1
393,0,37,0,0,0,1,0,0,2,0.0,0,436,0,10,340,0,9,83,1,1,294,0
396,1,20,2,0,0,8,0,0,0,1.0,0,296,0,10,340,0,9,83,6,2,772,0
398,1,22,2,3,0,7,0,1,0,0.0,0,284,0,10,340,0,9,83,6,2,66,0
399,0,52,1,0,0,1,0,0,0,1.0,0,58,0,10,340,0,9,83,1,0,973,0
400,0,23,2,0,0,4,0,0,0,1.0,0,71,1,8,173,0,9,83,4,3,468,1
402,0,48,1,0,0,2,0,0,0,1.0,0,14,0,10,340,0,9,83,3,1,870,0
403,1,66,1,0,0,6,0,0,8,562.0,0,125,1,8,148,0,9,83,1,0,571,1
404,1,25,0,2,0,5,0,0,0,1.0,0,121,0,10,340,0,9,83,4,0,355,0
405,1,27,0,2,0,6,0,0,0,1.0,0,194,1,3,7,1,2,13,7,1,220,1
406,1,30,0,0,0,7,0,0,11,0.0,0,409,1,7,207,0,9,83,6,1,197,1
407,1,22,2,0,0,10,1,1,3,1.0,1,44,1,7,243,0,9,83,7,0,4,1
408,0,22,2,2,0,3,0,0,1,1.0,0,250,0,10,340,0,9,83,4,0,822,0
409,1,35,0,0,0,10,0,0,2,1.0,0,436,0,10,340,0,9,83,8,0,798,0
410,1,32,0,2,0,4,0,0,2,232.0,0,436,0,10,340,0,9,83,4,0,938,0
411,0,41,0,0,0,3,0,0,2,1.0,1,50,0,10,340,0,9,83,1,0,970,0
414,0,25,0,5,0,2,0,0,0,1.0,0,14,0,10,340,0,9,83,3,0,793,0
415,1,44,0,0,0,7,0,0,24,31.0,1,245,0,10,340,0,9,83,3,0,53,0
