age,sex,decile_score,priors_count,race,days_in_jail,c_days_from_compas,is_violent_recid,v_decile_score,is_recid
8,1,8,6,2,12.0,382.0,0,8,0
8,1,8,6,2,12.0,382.0,0,8,0
15,0,5,4,2,11.0,1.0,0,2,1
15,0,5,4,2,11.0,1.0,0,2,1
15,0,5,4,2,11.0,1.0,0,2,1
15,0,5,4,2,11.0,1.0,0,2,1
6,1,2,1,2,1.0,0.0,0,3,1
6,1,2,1,2,1.0,0.0,0,3,1
16,1,9,21,0,33.0,0.0,0,6,1
16,1,9,21,0,33.0,0.0,0,6,1
16,1,9,21,0,33.0,0.0,0,6,1
16,1,9,21,0,33.0,0.0,0,6,1
11,1,2,0,2,1.0,1.0,0,2,0
3,0,8,2,0,79.0,1.0,0,8,0
3,0,8,2,0,79.0,1.0,0,8,0
3,0,8,2,0,79.0,1.0,0,8,0
3,0,8,2,0,79.0,1.0,0,8,0
33,1,1,2,0,1.0,1.0,0,1,0
18,1,1,0,0,0.0,1.0,0,1,-1
11,1,2,2,2,0.0,1.0,0,2,1
11,1,2,2,2,0.0,1.0,0,2,1
7,1,6,0,0,271.0,1.0,0,7,0
7,1,6,0,0,271.0,1.0,0,7,0
33,0,2,7,0,1.0,1.0,0,2,0
33,0,2,7,0,1.0,1.0,0,2,0
10,1,7,8,2,1.0,0.0,0,4,0
18,1,9,22,0,197.0,1.0,0,10,0
18,1,9,22,0,197.0,1.0,0,10,0
11,1,7,0,0,0.0,0.0,0,2,1
11,1,7,0,0,0.0,0.0,0,2,1
11,1,7,0,0,0.0,0.0,0,2,1
11,1,1,0,5,1.0,2.0,0,2,0
7,1,10,9,2,6.0,1.0,1,9,1
17,1,8,13,0,0.0,1.0,1,3,1
31,1,1,0,2,0.0,0.0,0,1,0
16,1,3,4,0,51.0,59.0,0,2,1
11,1,4,0,0,0.0,1.0,0,3,0
11,1,2,1,2,0.0,24.0,0,2,1
11,1,2,1,2,0.0,24.0,0,2,1
10,0,2,0,5,0.0,1.0,0,2,0
33,1,2,0,2,24.0,1.0,0,1,0
7,1,3,0,2,0.0,0.0,0,3,0
30,1,6,20,2,10.0,562.0,0,4,1
30,1,6,20,2,10.0,562.0,0,4,1
30,1,6,20,2,10.0,562.0,0,4,1
15,1,9,1,2,0.0,0.0,0,10,0
15,1,9,1,2,0.0,0.0,0,10,0
45,0,1,1,3,8.0,219.0,0,1,0
12,1,6,3,0,1.0,1.0,0,4,0
13,1,5,15,0,135.0,1.0,0,7,1
6,1,4,2,0,1.0,1.0,0,4,1
6,1,4,2,0,1.0,1.0,0,4,1
6,1,4,2,0,1.0,1.0,0,4,1
9,1,5,0,0,0.0,1.0,0,3,0
14,1,8,3,2,1.0,1.0,0,2,0
12,1,7,0,3,23.0,0.0,0,3,0
31,1,1,4,0,0.0,1.0,0,1,0
35,1,5,8,2,13.0,13.0,0,2,0
13,0,1,0,3,0.0,1.0,0,1,0
17,1,3,5,0,0.0,1.0,0,2,0
45,1,7,10,0,35.0,906.0,0,5,1
15,1,1,2,0,0.0,1.0,0,1,0
9,1,10,15,0,1.0,1.0,0,9,1
9,1,10,15,0,1.0,1.0,0,9,1
9,1,10,15,0,1.0,1.0,0,9,1
20,1,2,4,2,1.0,1.0,0,2,1
28,1,6,9,2,1.0,1.0,0,3,0
28,1,6,9,2,1.0,1.0,0,3,0
4,1,4,1,0,1.0,1.0,0,6,1
16,0,1,0,2,0.0,0.0,0,1,0
4,1,10,2,0,124.0,114.0,0,9,1
4,1,10,2,0,124.0,114.0,0,9,1
4,1,10,2,0,124.0,114.0,0,9,1
11,1,9,4,0,18.0,1.0,0,5,1
11,1,9,4,0,18.0,1.0,0,5,1
11,1,9,4,0,18.0,1.0,0,5,1
11,1,9,4,0,18.0,1.0,0,5,1
44,1,1,0,3,1.0,1.0,0,1,0
9,1,6,6,0,30.0,0.0,0,3,1
9,1,6,6,0,30.0,0.0,0,3,1
9,1,6,6,0,30.0,0.0,0,3,1
15,1,1,0,5,1.0,1.0,0,1,0
38,0,1,0,0,3.0,1.0,0,1,0
27,1,1,6,3,241.0,1.0,1,1,1
27,1,1,6,3,241.0,1.0,1,1,1
4,1,4,1,3,1.0,1.0,0,6,0
13,0,3,2,2,0.0,1.0,0,2,0
16,1,4,0,0,419.0,0.0,0,4,0
21,1,4,1,0,4.0,1.0,0,2,0
6,1,6,4,0,0.0,1.0,0,4,0
11,1,6,5,0,1.0,0.0,0,3,1
11,1,6,5,0,1.0,0.0,0,3,1
11,1,6,5,0,1.0,0.0,0,3,1
11,1,6,5,0,1.0,0.0,0,3,1
11,1,6,5,0,1.0,0.0,0,3,1
9,1,6,1,2,14.0,1.0,0,3,1
9,1,6,1,2,14.0,1.0,0,3,1
9,1,6,1,2,14.0,1.0,0,3,1
9,1,6,1,2,14.0,1.0,0,3,1
23,1,2,0,0,0.0,1.0,0,1,-1
6,0,4,1,3,1.0,325.0,0,2,0
22,1,2,2,0,3.0,15.0,0,1,0
33,1,1,1,0,55.0,78.0,0,1,0
33,1,1,1,0,55.0,78.0,0,1,0
4,1,3,1,0,16.0,1.0,0,3,1
4,1,3,1,0,16.0,1.0,0,3,1
4,1,3,1,0,16.0,1.0,0,3,1
4,1,8,0,2,57.0,1.0,0,6,0
4,1,8,0,2,57.0,1.0,0,6,0
4,1,8,0,2,57.0,1.0,0,6,0
4,1,8,0,2,57.0,1.0,0,6,0
4,1,8,0,2,57.0,1.0,0,6,0
8,0,4,1,0,2.0,1.0,1,3,1
9,1,7,1,2,19.0,44.0,1,8,1
41,0,1,2,0,0.0,67.0,0,1,0
14,1,1,3,2,69.0,711.0,0,3,0
14,1,2,0,0,1.0,1.0,0,1,0
23,1,2,1,0,1.0,5185.0,0,2,0
32,1,1,0,2,0.0,1.0,0,1,0
12,1,10,8,0,1.0,1.0,1,9,1
12,1,10,8,0,1.0,1.0,1,9,1
12,1,10,8,0,1.0,1.0,1,9,1
48,1,9,0,0,1.0,1372.0,0,3,0
34,1,5,3,0,9.0,1.0,0,1,0
18,1,6,0,0,0.0,1.0,0,5,-1
4,1,6,3,2,1.0,7.0,0,5,0
32,1,1,0,5,0.0,1.0,0,2,1
32,1,1,0,5,0.0,1.0,0,2,1
7,1,10,14,0,7.0,1.0,1,10,1
7,1,10,14,0,7.0,1.0,1,10,1
7,1,10,14,0,7.0,1.0,1,10,1
7,1,10,14,0,7.0,1.0,1,10,1
7,1,10,14,0,7.0,1.0,1,10,1
26,0,1,0,2,0.0,1.0,0,1,-1
2,1,5,0,5,1.0,1.0,1,8,1
4,1,9,2,0,30.0,0.0,0,10,1
4,1,9,2,0,30.0,0.0,0,10,1
4,1,9,2,0,30.0,0.0,0,10,1
5,1,7,2,0,0.0,192.0,0,8,1
5,1,7,2,0,0.0,192.0,0,8,1
36,1,6,6,0,105.0,864.0,0,5,0
36,1,6,6,0,105.0,864.0,0,5,0
22,1,5,4,2,0.0,1.0,0,4,0
22,1,5,4,2,0.0,1.0,0,4,0
7,1,7,10,0,181.0,138.0,0,6,0
7,1,7,10,0,181.0,138.0,0,6,0
17,0,2,1,0,0.0,1.0,0,1,0
18,1,7,9,0,3.0,1.0,0,6,1
18,1,7,9,0,3.0,1.0,0,6,1
8,1,8,7,2,0.0,1.0,0,4,1
8,1,8,7,2,0.0,1.0,0,4,1
8,1,8,7,2,0.0,1.0,0,4,1
3,1,6,1,5,3.0,1.0,0,6,1
3,1,6,1,5,3.0,1.0,0,6,1
3,1,6,1,5,3.0,1.0,0,6,1
3,1,6,1,5,3.0,1.0,0,6,1
3,1,6,1,5,3.0,1.0,0,6,1
10,0,3,0,0,0.0,1.0,0,3,-1
12,1,5,6,2,10.0,1.0,0,4,0
7,1,8,9,2,0.0,1.0,1,9,1
7,1,8,9,2,0.0,1.0,1,9,1
53,1,7,12,0,0.0,804.0,0,3,0
16,1,3,3,0,16.0,21.0,0,2,0
2,0,7,0,2,0.0,1.0,0,8,0
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
21,1,1,2,2,1.0,3.0,0,1,1
48,1,1,3,2,30.0,64.0,0,1,0
36,0,1,0,2,0.0,1.0,0,1,0
10,1,4,0,0,0.0,1.0,0,5,-1
26,0,1,0,3,1.0,2.0,0,1,0
1,1,4,1,0,9.0,10.0,1,7,1
6,1,2,1,0,137.0,137.0,0,3,0
6,1,2,1,0,137.0,137.0,0,3,0
12,1,2,1,0,0.0,1.0,0,2,0
21,0,1,0,2,1.0,1.0,1,1,1
14,0,3,8,0,0.0,1.0,0,1,0
6,1,6,8,2,12.0,0.0,0,6,1
6,1,6,8,2,12.0,0.0,0,6,1
6,1,6,8,2,12.0,0.0,0,6,1
6,1,6,8,2,12.0,0.0,0,6,1
6,1,6,8,2,12.0,0.0,0,6,1
12,1,4,0,2,5.0,1.0,0,2,0
12,1,4,0,2,5.0,1.0,0,2,0
12,1,4,0,2,5.0,1.0,0,2,0
13,1,5,0,2,38.0,1.0,0,2,0
21,0,4,1,2,106.0,1.0,0,3,0
21,0,4,1,2,106.0,1.0,0,3,0
21,0,4,1,2,106.0,1.0,0,3,0
21,0,4,1,2,106.0,1.0,0,3,0
21,0,4,1,2,106.0,1.0,0,3,0
41,1,9,14,0,109.0,265.0,1,4,1
17,1,6,7,2,0.0,0.0,0,3,0
17,1,6,7,2,0.0,0.0,0,3,0
6,0,3,0,5,16.0,1.0,0,4,0
25,1,1,1,2,1.0,30.0,0,1,0
3,1,9,2,0,1.0,1.0,0,6,0
3,1,9,2,0,1.0,1.0,0,6,0
3,1,9,2,0,1.0,1.0,0,6,0
3,1,9,2,0,1.0,1.0,0,6,0
3,1,9,2,0,1.0,1.0,0,6,0
3,1,9,2,0,1.0,1.0,0,6,0
3,0,4,0,0,3.0,1.0,0,4,0
3,1,9,3,0,6.0,1.0,0,6,1
3,1,9,3,0,6.0,1.0,0,6,1
3,1,9,3,0,6.0,1.0,0,6,1
3,1,9,3,0,6.0,1.0,0,6,1
3,1,9,3,0,6.0,1.0,0,6,1
9,1,7,0,0,0.0,1.0,0,3,0
2,1,8,0,0,0.0,0.0,0,6,0
2,1,8,0,0,0.0,0.0,0,6,0
2,1,8,0,0,0.0,0.0,0,6,0
2,1,8,0,0,0.0,0.0,0,6,0
2,1,8,0,0,0.0,0.0,0,6,0
2,1,8,0,0,0.0,0.0,0,6,0
20,1,4,5,2,2.0,1.0,0,3,1
20,1,4,5,2,2.0,1.0,0,3,1
9,1,9,3,0,207.0,2.0,0,4,0
9,1,9,3,0,207.0,2.0,0,4,0
16,1,5,0,2,14.0,0.0,0,5,0
16,1,5,0,2,14.0,0.0,0,5,0
12,1,3,3,0,1.0,0.0,0,3,0
15,1,5,5,0,0.0,1.0,0,2,1
19,1,2,3,0,1.0,0.0,0,1,0
19,1,2,3,0,1.0,0.0,0,1,0
24,1,2,1,2,0.0,1.0,0,2,1
24,1,2,1,2,0.0,1.0,0,2,1
24,1,2,1,2,0.0,1.0,0,2,1
23,1,9,10,0,176.0,0.0,0,7,1
23,1,9,10,0,176.0,0.0,0,7,1
4,1,4,0,0,0.0,1.0,0,7,1
4,1,4,0,0,0.0,1.0,0,7,1
15,1,8,28,0,1.0,1.0,0,5,1
15,1,8,28,0,1.0,1.0,0,5,1
15,1,8,28,0,1.0,1.0,0,5,1
26,1,1,0,2,1.0,3.0,0,1,0
13,1,7,1,0,1.0,1.0,0,8,0
8,1,8,9,0,0.0,0.0,0,7,0
8,1,8,9,0,0.0,0.0,0,7,0
12,0,2,1,5,1.0,1.0,0,2,0
12,0,2,1,5,1.0,1.0,0,2,0
12,0,2,1,5,1.0,1.0,0,2,0
13,1,10,13,2,471.0,0.0,1,7,1
9,1,9,3,0,0.0,1.0,0,4,1
13,0,2,1,2,1.0,1.0,0,2,0
13,0,2,1,2,1.0,1.0,0,2,0
29,1,1,2,3,0.0,1.0,0,1,0
38,1,9,8,0,79.0,79.0,0,3,0
38,1,9,8,0,79.0,79.0,0,3,0
15,1,8,2,1,13.0,132.0,0,8,0
15,1,8,2,1,13.0,132.0,0,8,0
15,1,8,2,1,13.0,132.0,0,8,0
34,1,9,3,2,0.0,2.0,0,6,0
15,1,10,19,0,0.0,1.0,0,7,1
15,1,10,19,0,0.0,1.0,0,7,1
43,1,4,0,2,15.0,1.0,0,1,0
46,0,1,2,2,1.0,48.0,0,1,0
4,1,6,4,2,14.0,36.0,0,8,1
4,1,6,4,2,14.0,36.0,0,8,1
24,1,3,6,2,1.0,5.0,0,1,0
24,1,3,6,2,1.0,5.0,0,1,0
24,1,3,6,2,1.0,5.0,0,1,0
7,0,4,2,2,3.0,1.0,0,5,0
7,0,4,2,2,3.0,1.0,0,5,0
9,1,1,0,2,1.0,1.0,0,2,0
12,1,2,1,2,3.0,20.0,0,2,0
5,1,2,0,0,0.0,1.0,0,3,-1
10,1,1,2,2,0.0,161.0,0,2,0
19,0,2,2,5,1.0,222.0,0,1,0
3,1,5,1,2,1.0,1.0,0,6,0
10,1,2,0,2,0.0,1.0,0,3,1
10,1,2,0,2,0.0,1.0,0,3,1
10,1,2,0,2,0.0,1.0,0,3,1
6,0,2,0,0,2.0,1.0,0,3,0
19,1,8,13,0,29.0,5.0,0,7,0
19,1,8,13,0,29.0,5.0,0,7,0
4,1,9,0,0,7.0,1.0,0,8,0
4,1,9,0,0,7.0,1.0,0,8,0
11,0,4,10,2,7.0,1.0,0,2,1
11,0,4,10,2,7.0,1.0,0,2,1
11,0,4,10,2,7.0,1.0,0,2,1
11,0,4,10,2,7.0,1.0,0,2,1
7,0,3,0,2,0.0,1.0,0,3,0
7,0,3,0,2,0.0,1.0,0,3,0
26,1,2,2,2,1.0,1.0,0,1,1
12,0,5,4,3,0.0,36.0,1,5,1
14,1,7,3,0,8.0,1.0,0,3,1
14,1,7,3,0,8.0,1.0,0,3,1
14,1,7,3,0,8.0,1.0,0,3,1
35,1,4,1,3,1.0,1.0,0,1,0
16,1,2,1,5,2.0,0.0,0,1,0
13,1,3,2,2,15.0,16.0,0,3,1
9,1,10,5,0,6.0,78.0,0,10,0
9,1,10,5,0,6.0,78.0,0,10,0
13,1,2,1,0,1.0,1.0,0,3,1
41,1,2,1,2,0.0,1.0,0,1,1
41,1,2,1,2,0.0,1.0,0,1,1
41,1,2,1,2,0.0,1.0,0,1,1
10,1,10,15,0,40.0,1.0,0,8,0
27,0,4,4,2,0.0,375.0,0,3,0
5,1,3,0,2,0.0,1.0,0,3,0
2,0,10,1,0,2.0,0.0,0,10,0
2,0,10,1,0,2.0,0.0,0,10,0
2,0,10,1,0,2.0,0.0,0,10,0
24,1,1,2,0,10.0,41.0,0,1,0
25,0,1,0,2,0.0,0.0,0,1,0
20,1,8,9,0,13.0,1.0,0,4,1
20,1,8,9,0,13.0,1.0,0,4,1
20,1,8,9,0,13.0,1.0,0,4,1
20,1,8,9,0,13.0,1.0,0,4,1
20,1,8,9,0,13.0,1.0,0,4,1
14,1,6,11,0,1.0,2.0,1,5,1
14,1,6,11,0,1.0,2.0,1,5,1
15,1,5,8,0,0.0,1.0,1,2,1
37,1,8,4,0,16.0,1480.0,0,3,0
37,1,8,4,0,16.0,1480.0,0,3,0
37,1,8,4,0,16.0,1480.0,0,3,0
13,0,3,0,0,1.0,1.0,0,2,1
13,0,3,0,0,1.0,1.0,0,2,1
13,0,3,0,0,1.0,1.0,0,2,1
15,0,9,7,0,26.0,1.0,0,9,1
15,0,9,7,0,26.0,1.0,0,9,1
15,0,9,7,0,26.0,1.0,0,9,1
9,1,9,2,0,1.0,1.0,0,8,1
9,1,9,2,0,1.0,1.0,0,8,1
9,1,9,2,0,1.0,1.0,0,8,1
9,1,9,2,0,1.0,1.0,0,8,1
34,1,1,0,0,1.0,1.0,0,1,0
2,0,6,0,0,0.0,1.0,0,8,0
8,0,6,0,2,0.0,2.0,0,3,0
7,1,10,4,0,262.0,1.0,0,10,0
43,0,1,1,0,0.0,1.0,0,1,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
34,1,7,13,5,1.0,1.0,0,6,1
45,1,1,1,3,14.0,26.0,0,1,0
22,1,2,0,3,0.0,1.0,0,1,-1
14,0,10,4,0,6.0,7.0,1,9,1
11,1,4,1,3,0.0,1.0,0,4,0
28,0,2,1,5,0.0,72.0,0,1,0
8,0,4,2,0,0.0,1.0,0,4,1
37,1,1,3,0,1.0,52.0,0,1,0
21,1,4,1,2,3.0,1672.0,0,4,0
12,0,7,3,2,530.0,1.0,0,4,1
12,0,7,3,2,530.0,1.0,0,4,1
12,0,7,3,2,530.0,1.0,0,4,1
12,1,7,1,0,70.0,1.0,0,8,0
12,1,7,1,0,70.0,1.0,0,8,0
30,1,2,2,2,0.0,1.0,0,1,0
15,1,1,0,2,1.0,1.0,0,1,0
4,1,2,1,0,0.0,1.0,0,4,0
4,1,2,1,0,0.0,1.0,0,4,0
28,1,1,6,2,22.0,31.0,0,1,1
28,1,1,6,2,22.0,31.0,0,1,1
23,1,10,5,2,95.0,1.0,0,4,0
31,0,6,6,2,5.0,56.0,0,2,0
13,1,5,0,2,2.0,1.0,0,4,0
13,1,5,0,2,2.0,1.0,0,4,0
13,1,1,0,0,0.0,1.0,0,2,0
7,1,2,1,0,1.0,1.0,0,3,1
7,1,2,1,0,1.0,1.0,0,3,1
13,1,3,3,0,19.0,19.0,0,2,0
3,0,6,0,0,3.0,4.0,0,6,0
5,1,3,0,3,0.0,2.0,0,5,0
14,0,7,5,0,1.0,1.0,0,3,0
34,1,1,2,3,3.0,1.0,0,1,0
34,1,1,2,3,3.0,1.0,0,1,0
44,1,4,8,0,15.0,1.0,0,1,0
12,1,6,2,0,0.0,1.0,0,4,0
12,1,6,2,0,0.0,1.0,0,4,0
19,0,10,6,2,105.0,111.0,0,4,0
19,0,10,6,2,105.0,111.0,0,4,0
37,1,1,1,2,18.0,45.0,0,1,0
13,1,9,8,3,117.0,61.0,0,7,1
13,1,9,8,3,117.0,61.0,0,7,1
13,1,9,8,3,117.0,61.0,0,7,1
10,1,6,6,0,0.0,1.0,1,6,1
36,1,1,2,3,188.0,1.0,0,1,0
40,1,2,0,3,0.0,1.0,0,1,0
40,1,2,0,3,0.0,1.0,0,1,0
60,1,1,1,2,0.0,1.0,0,1,1
38,1,1,0,2,1.0,1.0,0,1,0
3,1,10,1,3,11.0,155.0,0,8,0
6,1,2,0,5,1.0,1.0,0,4,0
20,1,8,22,0,33.0,35.0,0,5,1
20,1,8,22,0,33.0,35.0,0,5,1
20,1,8,22,0,33.0,35.0,0,5,1
21,1,5,3,0,5.0,1637.0,0,1,0
17,1,1,0,2,0.0,1.0,0,1,0
4,1,5,1,0,0.0,1.0,0,5,1
3,1,7,0,3,0.0,1.0,0,6,-1
3,1,7,0,3,0.0,1.0,0,6,-1
29,1,8,23,0,0.0,1.0,0,1,1
29,1,8,23,0,0.0,1.0,0,1,1
29,1,8,23,0,0.0,1.0,0,1,1
29,1,8,23,0,0.0,1.0,0,1,1
29,1,8,23,0,0.0,1.0,0,1,1
29,1,8,23,0,0.0,1.0,0,1,1
5,1,2,0,0,1.0,1.0,0,4,1
5,1,2,0,0,1.0,1.0,0,4,1
39,1,1,1,3,19.0,0.0,0,1,0
20,0,5,2,2,0.0,35.0,0,2,1
20,0,5,2,2,0.0,35.0,0,2,1
20,0,5,2,2,0.0,35.0,0,2,1
20,0,5,2,2,0.0,35.0,0,2,1
20,0,5,2,2,0.0,35.0,0,2,1
48,1,1,3,0,2.0,10.0,1,1,1
27,1,4,8,2,71.0,0.0,0,3,1
27,1,4,8,2,71.0,0.0,0,3,1
10,0,5,0,2,1.0,2.0,0,2,0
27,1,1,2,5,1.0,117.0,0,1,0
34,0,3,0,5,0.0,1.0,0,1,1
14,1,10,13,0,97.0,1.0,0,7,1
14,1,10,13,0,97.0,1.0,0,7,1
19,1,9,2,0,0.0,0.0,1,8,1
21,1,4,0,2,0.0,0.0,0,4,1
21,1,4,0,2,0.0,0.0,0,4,1
8,1,9,9,0,79.0,1.0,0,8,1
8,1,9,9,0,79.0,1.0,0,8,1
7,1,8,3,0,1.0,0.0,0,8,0
27,1,3,2,2,358.0,1.0,0,4,0
39,0,9,7,2,1.0,0.0,0,1,0
39,0,9,7,2,1.0,0.0,0,1,0
5,1,3,0,0,0.0,1.0,1,4,1
16,1,2,2,0,25.0,1.0,0,1,1
16,1,2,2,0,25.0,1.0,0,1,1
20,1,10,14,0,116.0,1.0,0,8,0
20,1,10,14,0,116.0,1.0,0,8,0
20,1,10,14,0,116.0,1.0,0,8,0
20,1,10,14,0,116.0,1.0,0,8,0
18,0,3,0,0,0.0,1.0,0,4,-1
5,0,4,1,0,0.0,1.0,0,4,0
18,1,3,2,5,2.0,1.0,0,1,1
18,1,3,2,5,2.0,1.0,0,1,1
32,1,1,1,2,1.0,4.0,0,1,0
32,1,1,1,2,1.0,4.0,0,1,0
19,0,3,0,2,0.0,1.0,0,1,0
26,1,4,4,2,1.0,0.0,0,4,0
17,0,9,23,0,2.0,1.0,0,9,1
13,1,1,1,2,36.0,36.0,0,1,0
6,1,5,5,5,0.0,1.0,0,4,1
22,1,1,3,1,106.0,109.0,0,1,0
22,1,1,3,1,106.0,109.0,0,1,0
8,1,10,2,0,1.0,1.0,0,8,1
8,1,10,2,0,1.0,1.0,0,8,1
8,1,10,2,0,1.0,1.0,0,8,1
8,1,10,2,0,1.0,1.0,0,8,1
8,1,10,2,0,1.0,1.0,0,8,1
19,1,6,1,5,2.0,2.0,0,2,0
9,1,2,0,0,2.0,1.0,0,3,0
13,0,3,1,2,1.0,1.0,0,2,0
10,0,8,0,0,29.0,1.0,0,6,0
25,1,5,11,2,121.0,56.0,1,3,1
24,1,5,0,0,0.0,1.0,0,6,-1
10,0,9,7,2,1.0,1.0,0,6,1
10,0,9,7,2,1.0,1.0,0,6,1
10,0,9,7,2,1.0,1.0,0,6,1
10,0,9,7,2,1.0,1.0,0,6,1
20,1,1,0,0,0.0,1.0,0,1,0
20,1,1,2,0,1.0,1.0,0,1,0
20,1,1,2,0,1.0,1.0,0,1,0
9,1,4,2,2,36.0,36.0,0,3,0
10,0,9,1,0,38.0,1.0,0,7,0
10,0,9,1,0,38.0,1.0,0,7,0
3,1,7,1,0,2.0,1.0,0,8,0
3,1,7,1,0,2.0,1.0,0,8,0
3,1,7,1,0,2.0,1.0,0,8,0
38,1,1,7,2,0.0,1.0,0,1,1
20,1,9,15,0,1.0,1.0,0,3,0
10,1,5,2,0,0.0,2147.0,0,4,0
27,1,6,3,0,218.0,23.0,0,4,0
