age,education.num,marital.status,sex,hours.per.week,income
16,8,0,0,79,0
13,9,0,0,39,0
23,12,0,1,47,0
21,9,0,0,54,1
29,11,0,0,37,1
12,12,0,1,44,1
40,12,0,0,39,0
22,8,0,0,41,1
30,12,0,0,39,1
9,12,0,0,44,1
10,8,0,0,49,0
6,12,0,1,39,1
17,13,0,0,49,0
16,7,0,0,41,0
21,13,0,1,59,0
40,9,0,1,37,1
19,8,0,0,68,0
27,12,0,0,39,1
32,15,0,1,49,1
27,9,0,0,59,0
38,9,0,0,61,1
28,8,0,0,43,1
31,8,0,1,39,1
14,12,1,0,44,1
38,8,1,1,39,1
53,9,1,0,39,1
53,13,1,0,7,1
56,12,1,0,39,1
55,14,1,0,27,1
14,8,0,1,39,0
11,5,0,1,34,0
6,12,0,0,39,1
32,4,0,0,39,1
10,9,0,0,39,1
72,8,0,0,39,0
51,8,0,1,29,0
48,8,0,1,58,0
48,8,0,1,9,0
50,12,0,1,4,0
49,12,0,1,24,0
7,9,0,0,23,0
27,9,0,0,34,0
18,9,0,1,39,0
3,11,0,1,17,0
21,8,0,0,39,0
22,9,0,1,39,0
15,9,0,1,39,0
25,3,0,0,39,0
46,8,0,1,39,0
25,13,0,0,59,1
47,6,1,0,39,0
11,3,1,0,39,0
24,10,1,0,79,0
24,3,1,0,39,0
41,1,1,0,17,0
42,9,1,0,39,0
17,8,1,1,11,0
28,8,1,0,44,0
12,8,1,1,39,0
30,5,1,0,51,0
23,9,1,0,39,0
30,2,1,0,49,0
46,12,1,0,44,0
24,8,1,0,39,0
17,9,1,0,39,0
49,12,1,0,39,1
48,9,1,0,9,1
53,8,1,0,39,1
58,14,1,0,49,1
48,8,1,0,39,1
48,9,1,0,39,1
56,9,1,0,49,1
43,12,1,0,24,0
51,10,1,0,39,0
57,8,1,0,19,0
26,2,1,1,69,0
2,6,1,0,54,0
20,8,1,0,39,0
28,11,0,0,39,0
47,13,1,0,59,0
13,8,1,0,39,0
34,9,1,1,59,0
18,6,1,0,39,0
12,8,1,1,19,0
17,9,1,1,39,0
24,8,1,0,59,0
18,9,1,0,44,0
9,9,1,0,39,0
37,8,1,0,49,0
35,8,1,0,39,0
33,8,1,0,19,0
14,9,1,0,39,0
21,8,1,0,39,0
13,9,1,0,39,0
17,12,1,0,39,0
14,9,1,0,56,0
35,8,1,0,37,0
37,8,1,0,39,0
21,8,1,0,43,0
22,8,1,0,39,0
12,10,1,0,39,0
28,8,1,0,39,0
17,8,1,0,54,0
21,8,1,0,39,0
22,5,1,0,39,0
44,8,1,0,19,0
26,6,1,0,39,0
18,9,1,0,39,0
29,9,1,0,49,0
21,8,1,0,39,0
25,8,1,0,47,0
17,11,1,0,9,0
12,3,1,0,39,0
15,6,1,0,29,0
43,8,1,0,33,0
32,8,1,0,39,0
36,8,1,0,44,0
39,3,1,0,39,0
31,6,1,0,39,0
15,12,1,0,39,0
25,8,1,0,39,0
15,11,1,0,41,0
11,11,1,0,39,0
9,10,1,0,39,0
42,12,1,0,49,0
30,12,1,0,29,0
9,12,1,0,39,0
24,8,1,0,59,0
19,8,1,1,39,0
28,12,1,0,54,0
13,11,1,0,39,0
19,8,1,0,39,0
17,8,1,0,39,0
36,8,1,0,39,0
34,8,1,0,44,0
30,15,1,0,44,0
2,8,0,0,39,0
13,8,0,0,41,0
3,8,0,0,39,0
25,13,0,0,59,0
14,6,0,0,39,0
16,12,0,0,39,0
8,11,0,1,29,0
3,8,0,0,39,0
6,8,0,0,39,0
38,8,0,1,39,0
24,9,0,0,49,0
37,8,0,0,34,0
8,8,0,0,49,0
2,9,0,1,39,0
7,8,0,1,36,0
39,12,0,0,64,0
4,9,0,1,39,0
17,8,0,0,39,0
2,8,0,0,39,0
4,9,0,0,44,0
31,8,0,1,39,0
17,12,0,0,39,0
14,8,0,0,39,0
19,8,0,1,39,0
10,8,0,0,39,0
10,9,0,0,39,0
18,12,0,1,64,0
14,12,1,0,59,0
10,8,0,0,39,0
11,11,0,1,39,0
25,8,0,0,45,0
27,9,0,0,44,0
24,12,0,0,55,0
11,12,0,1,34,0
24,8,0,1,39,0
18,5,0,1,39,0
41,13,0,1,44,0
23,8,0,0,47,0
14,10,0,0,59,0
13,8,0,1,39,0
15,9,0,0,39,0
8,9,0,0,39,0
17,8,0,0,39,0
39,9,0,1,39,0
28,8,0,0,39,0
33,8,0,0,39,0
10,5,0,0,39,0
34,9,1,0,39,1
23,11,1,0,59,1
24,13,1,0,64,1
32,13,1,0,44,1
20,10,1,0,39,1
19,12,1,1,44,1
18,14,1,0,76,1
12,8,1,1,24,1
33,12,1,1,39,1
29,12,1,0,39,1
27,8,1,0,44,1
25,13,1,0,39,1
21,14,1,0,49,1
28,12,1,0,54,1
26,13,1,0,59,1
30,14,1,0,59,1
41,14,1,0,49,1
31,14,1,0,39,1
25,12,1,0,47,1
38,13,1,0,49,1
34,5,1,0,39,1
15,13,1,0,39,1
28,12,1,0,49,1
39,13,1,0,43,1
21,13,1,0,59,1
28,10,1,0,49,1
32,13,1,1,39,1
19,8,1,0,39,1
32,13,1,0,39,1
13,15,1,0,39,1
25,14,1,0,49,1
38,13,1,0,39,1
17,12,1,0,44,1
37,15,1,0,49,1
25,12,1,0,68,1
8,12,1,0,39,1
38,8,1,0,44,1
41,13,1,0,49,1
45,8,1,0,59,1
26,14,1,0,39,1
40,13,1,1,39,1
25,15,1,0,59,1
46,12,1,0,31,1
30,14,1,0,49,1
20,12,1,0,49,1
23,12,1,0,59,1
26,12,1,0,49,1
26,14,1,0,68,1
24,14,1,0,59,1
15,14,1,0,59,1
30,12,1,0,39,1
22,9,1,0,59,1
36,9,1,0,39,1
17,12,1,0,44,1
19,12,1,0,39,1
30,13,1,0,40,1
35,10,1,0,44,1
23,14,1,0,59,1
25,12,1,0,39,1
34,13,1,0,39,1
38,13,1,0,19,1
21,8,1,0,93,1
35,9,1,0,49,1
43,8,1,0,39,1
38,10,1,0,49,1
30,13,1,0,49,1
29,13,1,0,39,1
18,13,1,0,44,1
42,12,1,0,49,1
40,13,1,0,44,1
29,9,1,0,49,1
29,13,1,0,39,1
35,8,1,0,39,1
28,15,1,1,29,1
20,12,1,0,39,1
29,13,1,0,44,1
27,12,1,0,49,1
28,10,1,0,49,1
26,8,1,0,51,1
37,13,1,0,39,1
33,13,1,0,39,1
34,12,1,0,59,1
28,12,1,0,39,1
19,13,1,0,59,1
10,12,1,0,49,1
19,12,1,0,34,1
36,13,1,0,54,1
34,13,1,0,34,1
11,12,1,1,23,1
30,9,1,0,39,1
28,12,1,0,59,1
28,13,1,1,34,1
22,14,1,0,49,1
22,12,1,0,39,1
38,13,1,0,39,1
45,9,1,0,92,1
32,12,1,0,49,1
36,13,1,0,39,1
14,13,1,0,47,1
25,8,1,0,59,1
22,12,1,0,44,1
43,12,1,0,44,1
9,14,1,0,39,1
20,13,1,0,39,1
28,12,1,0,59,1
20,11,1,0,44,1
15,12,1,0,44,1
22,8,1,0,39,1
41,5,1,1,34,1
28,13,1,0,42,1
24,12,1,0,44,1
19,8,1,0,64,1
34,13,1,0,59,1
22,9,1,0,61,1
39,14,1,0,49,1
36,8,1,0,39,1
23,10,1,1,14,1
40,13,1,0,39,1
33,8,1,0,34,1
17,14,1,0,54,1
18,12,1,1,29,1
13,8,1,0,14,1
36,13,1,0,54,1
14,15,1,0,68,1
20,12,1,0,59,1
17,12,1,0,49,1
19,13,1,0,49,1
23,12,1,0,49,1
34,9,1,0,59,1
16,8,1,0,44,1
23,15,1,1,19,1
33,3,1,0,62,1
29,13,1,0,59,1
37,15,1,0,49,1
22,13,1,1,23,1
37,9,1,0,39,1
14,15,1,0,93,1
34,13,1,0,49,1
38,15,1,0,54,1
19,13,1,0,39,1
24,12,1,0,59,1
39,9,1,1,49,1
21,12,1,0,39,1
30,8,1,0,44,1
22,13,1,0,44,1
42,12,1,0,49,1
37,15,1,0,42,1
37,12,1,1,34,1
14,12,1,0,54,1
42,9,1,0,47,1
29,13,1,0,49,1
40,15,1,0,39,1
19,13,1,1,43,1
27,12,1,0,39,1
16,14,1,0,49,1
37,9,1,0,17,1
38,13,1,0,59,1
19,13,1,0,49,1
32,14,1,1,59,1
24,14,1,0,49,1
23,15,1,0,44,1
26,12,1,0,49,1
22,13,1,1,19,1
9,12,1,1,39,1
31,14,1,0,44,1
26,12,1,0,49,1
25,12,1,0,59,1
19,12,1,0,44,1
22,13,0,0,39,0
4,9,0,0,39,0
6,9,0,1,39,0
30,8,0,1,39,0
13,8,0,1,39,0
18,9,0,0,39,0
9,9,0,1,39,0
9,12,0,0,54,0
24,13,0,0,39,0
13,9,0,0,39,0
11,8,0,0,39,0
39,8,0,1,39,0
18,8,0,0,39,0
17,10,0,1,39,0
12,8,0,0,34,0
6,11,0,1,19,0
7,8,0,1,39,0
45,9,0,0,39,0
60,9,0,1,0,0
30,14,1,1,59,1
31,15,1,0,59,1
25,14,1,0,49,1
14,13,1,0,39,1
26,12,1,0,39,1
33,15,1,0,64,1
19,12,1,0,49,1
32,13,1,0,39,1
21,8,1,0,39,1
31,15,1,1,45,1
29,12,1,0,39,1
39,8,1,0,59,1
20,8,1,0,44,1
34,8,1,0,39,1
26,13,1,0,39,1
29,8,1,0,39,0
25,13,1,0,59,1
28,9,1,1,34,1
6,9,1,0,39,0
28,12,1,0,39,1
13,8,1,0,39,0
32,15,1,0,59,1
32,11,1,1,39,1
40,14,1,0,39,1
25,12,1,0,76,1
26,9,1,1,39,1
26,9,1,0,39,1
25,14,1,0,59,1
36,12,1,0,54,1
23,13,1,0,47,1
29,13,1,0,39,1
24,12,1,0,59,1
32,12,1,0,39,1
14,12,1,0,49,1
17,13,1,0,49,1
23,13,1,0,39,1
33,9,1,1,37,1
37,8,1,0,39,1
32,9,1,0,49,1
27,13,1,1,59,1
40,12,1,0,39,1
11,13,1,1,54,0
40,9,1,0,39,1
42,12,1,0,42,1
21,11,1,1,39,1
19,8,1,0,59,1
38,9,1,0,39,1
17,8,1,0,59,1
34,9,1,0,49,1
29,8,1,0,68,1
16,13,1,0,44,1
14,12,1,1,34,1
14,12,1,1,34,1
42,8,1,0,51,1
31,11,1,0,39,1
16,12,1,0,44,1
29,9,1,0,49,1
36,12,1,0,39,1
22,13,1,1,17,1
27,8,1,0,39,1
28,13,1,0,49,1
25,12,1,0,39,1
7,3,1,0,39,1
40,12,1,0,39,1
34,12,1,0,39,1
33,12,1,0,39,1
33,12,1,0,49,1
35,13,1,0,49,1
29,12,1,0,41,1
27,9,1,0,39,1
30,12,1,0,44,1
19,12,1,0,44,1
17,9,1,0,37,1
32,12,1,0,49,1
28,12,1,0,44,1
29,12,1,0,49,1
36,12,1,0,47,1
46,15,1,0,49,1
35,12,1,0,39,1
27,12,1,0,39,1
20,12,1,0,39,1
27,15,1,0,39,1
36,12,1,0,39,1
15,12,1,0,39,1
33,15,1,0,44,1
25,13,1,0,39,1
33,11,1,0,39,1
16,12,1,0,54,1
33,13,1,1,39,1
15,12,1,1,31,1
24,8,1,0,39,1
37,8,1,0,54,1
17,11,1,0,49,1
24,12,1,0,54,1
22,14,1,0,49,1
25,13,1,0,39,1
14,12,1,0,44,1
28,10,1,0,41,1
24,12,1,0,41,1
31,13,1,1,37,1
15,8,1,0,54,1
24,9,1,0,39,1
14,12,1,1,39,1
13,9,1,0,39,1
24,9,1,1,39,1
31,13,1,0,39,1
43,15,1,0,39,1
21,12,1,0,64,1
29,2,1,0,39,0
11,9,1,0,54,1
47,15,1,0,59,1
14,12,1,1,19,1
25,13,1,0,49,1
26,10,1,1,31,1
44,9,1,0,34,1
31,15,1,0,39,1
29,13,1,0,44,1
27,12,1,0,49,1
22,9,1,0,49,1
29,12,1,0,39,1
31,15,1,0,49,1
10,6,1,0,39,1
5,9,1,0,36,0
34,12,1,0,39,0
31,9,1,0,39,1
35,10,1,0,39,1
14,8,1,0,39,1
36,12,1,0,39,1
34,13,1,0,59,1
29,15,1,1,51,1
8,9,1,0,35,1
29,8,1,0,39,1
40,8,1,0,29,1
27,12,1,0,49,1
25,8,1,0,49,1
25,13,1,0,39,1
13,12,1,0,54,1
37,15,1,0,49,1
29,14,1,0,44,1
16,12,1,0,49,1
21,9,1,0,49,1
33,13,1,0,44,1
29,6,1,0,39,1
24,13,1,1,34,1
39,12,1,0,64,1
22,12,1,0,49,1
29,15,1,0,49,1
31,3,1,0,39,0
18,15,1,0,39,1
39,9,1,0,59,1
32,8,1,0,59,1
44,14,1,0,39,1
26,8,1,0,39,1
20,8,1,0,49,0
26,12,1,0,39,1
24,8,1,0,39,1
44,8,1,0,39,1
13,12,1,0,39,1
41,9,1,0,39,1
23,8,1,0,39,1
27,13,1,0,39,1
23,12,1,0,31,1
41,8,1,0,39,0
31,8,1,0,39,1
32,8,1,0,39,0
33,12,1,0,49,1
26,12,1,0,54,1
36,8,1,0,39,1
25,15,1,0,49,1
39,8,1,0,39,1
27,12,1,0,55,1
12,12,1,1,49,1
18,8,1,0,39,1
27,8,1,0,39,1
17,12,1,0,47,1
25,13,1,0,54,1
26,12,1,0,39,1
40,10,1,0,44,0
33,12,1,0,59,1
28,9,1,0,39,1
15,12,1,0,59,1
16,12,1,0,44,1
26,9,1,0,14,1
15,8,1,0,49,1
19,8,1,0,47,1
33,8,1,0,59,1
10,8,1,0,44,0
43,14,1,0,39,1
36,13,1,0,49,1
44,15,1,0,39,1
15,12,1,0,39,1
35,12,1,0,59,1
20,8,1,0,54,1
16,8,1,1,39,1
40,15,1,0,39,1
26,8,1,0,93,1
33,8,1,0,39,1
26,9,1,0,39,1
28,8,1,0,39,1
20,8,1,0,44,1
14,13,1,0,42,1
16,11,1,0,49,1
39,8,1,0,49,1
26,9,1,1,49,1
11,9,1,1,39,1
35,5,1,0,46,1
21,12,1,0,39,1
23,3,1,0,39,1
40,8,1,0,39,1
24,9,1,0,49,1
20,8,1,0,49,1
25,8,1,0,39,1
27,13,1,0,34,1
22,12,1,0,49,1
36,9,1,1,39,1
34,9,1,0,64,1
21,12,1,0,49,1
26,9,1,0,39,1
16,11,1,0,59,1
26,12,1,0,39,1
18,12,1,0,44,1
24,9,1,0,49,1
28,9,1,0,39,1
42,8,1,0,39,1
13,13,1,0,44,1
15,12,1,0,44,1
22,12,1,0,59,1
26,12,1,1,68,1
15,12,1,0,54,1
22,8,1,0,39,1
20,12,1,0,39,1
17,9,1,1,39,1
29,9,1,0,44,1
34,15,1,0,39,1
12,8,1,0,54,1
17,12,1,1,39,1
33,9,1,0,34,1
17,9,1,0,39,1
41,5,1,0,39,1
39,2,1,0,66,1
17,12,1,0,47,1
19,12,1,0,39,1
29,8,1,0,39,1
18,12,1,0,49,1
33,8,1,0,39,1
10,12,1,0,44,1
15,11,1,0,39,1
27,8,1,0,68,1
22,8,1,0,45,1
16,8,1,1,19,1
42,8,1,0,39,1
42,9,1,0,54,1
34,9,1,0,39,1
20,10,1,0,39,1
40,8,1,0,39,1
8,10,1,1,39,1
37,8,1,0,64,1
30,9,1,0,39,1
35,15,1,0,68,1
23,12,1,0,39,1
10,12,1,0,59,1
14,12,1,0,39,1
24,8,1,0,54,1
24,8,1,0,44,1
33,8,1,0,54,1
19,9,1,0,39,1
10,8,1,1,39,1
29,9,1,0,39,1
44,8,1,0,39,1
22,12,1,0,39,1
30,8,1,0,44,1
28,8,1,0,39,1
38,8,1,1,39,1
21,6,1,0,44,1
40,12,1,0,54,1
21,5,1,0,39,1
11,12,1,0,39,1
23,9,1,0,39,1
19,12,1,0,49,1
19,8,1,0,59,1
13,8,1,0,49,1
18,8,1,1,41,1
15,8,1,0,59,1
38,8,1,0,39,1
12,8,1,0,29,1
20,11,1,0,39,1
19,10,1,0,49,1
25,13,1,1,47,1
23,15,1,0,49,1
9,13,1,0,39,1
27,13,1,0,59,1
30,12,1,0,39,1
18,13,1,0,39,1
41,9,1,0,39,1
24,8,1,0,54,1
24,8,1,0,39,1
21,15,1,0,49,1
30,12,1,0,39,1
22,8,1,0,39,1
25,9,1,0,49,1
25,12,1,0,39,1
20,10,1,1,34,1
24,12,1,0,39,1
34,8,1,0,39,1
33,12,1,0,49,1
26,5,1,0,39,1
11,11,1,0,68,1
18,11,1,0,44,1
42,8,1,0,39,1
11,12,1,0,39,1
25,14,1,0,39,1
34,13,1,0,46,1
37,13,1,0,43,1
28,8,1,0,39,1
21,12,1,1,39,1
29,13,1,0,39,1
16,9,1,0,39,1
19,12,1,0,39,1
19,15,1,0,49,1
44,9,1,0,39,1
13,8,1,0,47,1
33,10,1,1,35,1
41,10,1,0,47,1
26,12,1,0,39,1
23,9,1,0,67,1
38,8,1,0,39,1
35,12,1,0,39,1
27,9,1,0,54,1
22,14,1,0,49,1
28,12,1,0,59,1
25,12,1,0,39,1
12,9,1,0,49,1
29,9,1,0,39,1
38,12,1,0,39,1
16,14,1,0,39,1
27,9,1,0,59,1
20,12,1,0,46,1
47,11,1,0,49,1
26,13,1,0,44,1
19,12,1,0,34,1
38,12,1,0,39,1
17,8,1,0,44,1
12,10,1,0,47,1
20,9,1,0,59,1
25,12,1,1,39,1
24,11,1,0,39,1
28,9,1,0,39,1
18,8,1,0,49,1
44,10,1,0,59,1
32,9,1,0,39,1
35,8,1,0,59,1
29,11,1,0,49,1
6,13,1,0,49,1
19,9,1,0,39,1
26,8,1,0,39,1
18,13,1,0,39,1
22,8,1,0,39,1
22,12,1,0,39,1
30,13,1,0,49,1
36,9,1,0,39,1
36,9,1,0,44,1
9,13,0,1,39,0
35,8,0,0,49,0
44,2,0,0,55,0
11,8,0,0,39,0
25,13,0,1,39,0
27,13,0,0,41,0
34,8,0,0,39,0
22,8,0,0,39,0
19,12,0,0,43,0
28,9,0,0,49,0
10,12,0,0,39,0
23,13,0,1,34,0
8,12,0,1,39,0
30,8,0,0,39,0
15,12,0,0,49,0
36,8,0,1,37,0
15,9,0,0,59,0
32,8,0,0,39,0
10,10,0,1,35,0
9,12,0,0,37,0
43,8,0,0,49,0
39,13,0,0,59,0
41,11,0,0,39,0
22,12,0,0,49,0
36,13,0,1,37,0
10,9,0,0,44,0
29,13,0,1,59,0
13,8,0,0,44,0
21,8,0,0,39,0
24,12,0,1,39,0
10,8,0,0,72,0
26,12,0,0,39,0
13,12,0,0,39,0
8,12,0,1,39,0
9,12,0,0,37,0
36,12,0,1,53,0
22,6,0,0,45,0
30,9,0,1,39,0
27,9,0,0,54,0
44,8,1,0,59,1
27,11,1,0,39,1
11,8,1,0,41,1
17,12,1,0,39,1
22,12,1,0,39,1
24,10,1,0,47,1
18,12,1,0,68,1
17,8,1,0,49,1
13,11,1,0,49,1
13,8,1,0,49,1
16,12,1,0,44,1
43,8,1,0,39,1
14,8,1,0,39,1
33,8,1,0,39,1
10,8,1,0,44,1
20,8,1,0,64,1
13,8,1,0,39,1
32,9,1,0,43,1
35,13,1,1,39,1
22,7,1,0,39,1
20,8,1,0,47,1
22,13,1,0,49,1
21,12,1,0,53,1
27,12,1,0,39,1
28,9,1,0,39,1
37,8,1,0,39,1
41,11,1,0,39,1
19,12,1,0,54,1
28,4,1,0,39,1
29,10,1,0,39,1
24,8,1,0,44,1
24,13,1,0,39,1
17,8,1,0,49,1
16,15,1,0,39,1
46,12,1,0,39,1
39,9,1,0,49,1
31,8,1,1,39,1
23,11,1,0,54,1
42,9,1,0,44,1
15,12,1,0,49,1
12,12,1,0,59,1
24,8,1,0,39,1
13,9,1,0,39,1
17,13,1,0,39,1
24,9,1,0,64,1
29,12,1,0,44,1
22,13,1,0,44,1
9,8,1,0,59,1
10,12,1,0,54,1
44,12,1,0,39,1
20,12,1,1,39,1
50,9,1,0,68,0
49,9,1,0,39,1
49,8,1,0,9,1
57,12,1,0,11,1
49,8,1,0,39,1
54,9,0,0,1,0
63,9,0,0,59,0
7,8,0,1,39,0
3,6,1,1,39,0
11,9,0,0,39,0
42,8,0,1,29,0
7,8,0,1,31,0
7,9,0,0,39,0
35,8,0,1,39,0
22,12,0,0,39,0
26,8,0,1,34,0
5,5,0,1,24,0
13,11,0,1,39,0
4,6,1,0,39,0
7,8,0,1,39,0
4,9,0,1,27,0
32,13,0,0,44,1
35,12,0,1,39,1
21,9,0,0,39,0
13,12,0,0,47,0
21,12,0,0,39,0
8,7,0,0,39,0
17,12,0,1,44,0
7,12,0,0,44,0
8,12,0,0,39,0
14,12,0,0,37,0
22,12,0,0,39,0
18,8,0,0,59,0
14,5,0,0,39,0
13,8,0,0,41,0
25,13,0,1,34,0
25,9,0,1,49,0
24,12,0,1,39,0
29,8,0,0,39,0
17,12,0,0,39,0
16,8,0,0,39,0
19,12,0,0,39,0
19,12,0,1,39,0
27,11,0,1,39,0
11,8,0,1,51,0
35,8,0,1,37,0
26,12,0,0,39,0
28,8,1,1,39,0
13,12,1,0,44,0
33,9,1,0,47,0
24,12,1,1,19,0
14,9,1,1,19,0
10,8,1,0,39,0
46,12,1,0,34,0
16,8,1,1,24,0
11,8,1,0,39,0
17,9,1,0,39,0
14,10,1,0,39,0
13,14,1,0,39,0
30,11,1,0,39,0
18,8,1,0,39,0
15,9,1,0,46,0
16,9,1,0,49,0
21,8,1,0,47,0
18,9,1,0,39,0
25,8,1,0,42,0
30,12,1,0,39,0
17,8,1,1,34,0
36,9,1,0,39,0
20,11,1,0,44,0
16,9,1,0,39,0
15,9,1,1,39,0
21,12,1,0,39,0
35,9,1,0,59,0
18,12,1,0,76,0
29,13,1,0,59,0
11,8,1,0,29,0
41,11,1,0,39,0
12,12,1,0,68,0
13,9,1,0,39,0
36,8,1,0,49,0
36,8,1,0,39,0
14,11,1,1,39,0
29,9,1,0,39,0
42,10,1,0,49,0
45,8,1,0,39,0
29,8,1,0,34,0
28,9,1,0,49,0
46,9,1,0,39,0
56,1,1,0,19,0
58,9,1,0,39,0
28,14,0,1,39,0
22,8,0,0,39,0
15,9,0,1,37,0
8,12,0,1,59,0
7,4,0,0,39,0
7,8,0,0,29,0
14,6,0,0,39,0
14,9,0,0,15,0
3,8,0,1,29,0
22,9,0,1,54,0
2,8,0,1,39,0
1,8,0,1,39,0
1,9,0,0,19,0
6,11,0,0,19,0
2,9,0,1,29,0
0,6,0,0,14,0
0,7,0,1,24,0
5,9,0,0,19,0
2,9,0,1,24,0
4,9,0,1,34,0
6,9,0,1,39,0
22,5,1,1,14,0
3,9,0,1,27,0
3,11,0,0,19,0
4,8,0,1,15,0
1,8,0,1,14,0
13,9,0,1,24,0
2,9,0,0,15,0
5,9,0,0,29,0
9,0,1,0,39,0
2,8,0,1,39,0
5,8,1,0,39,0
20,12,0,0,31,0
30,4,0,1,29,0
40,8,0,1,24,0
4,9,0,0,29,0
4,8,0,0,24,0
8,8,0,0,15,0
6,12,0,1,39,0
0,4,0,0,14,0
2,4,0,0,34,0
0,6,0,0,17,0
3,9,0,0,35,0
4,9,0,1,8,0
15,8,1,0,59,0
33,8,1,0,59,0
14,9,1,0,49,0
43,4,1,0,79,0
17,8,1,0,39,0
17,10,1,0,49,0
28,8,1,0,39,0
40,9,1,0,44,0
38,6,1,0,39,0
44,9,1,0,39,0
34,12,1,0,68,0
18,8,1,0,49,0
12,9,1,0,39,0
23,8,1,0,44,0
29,8,1,0,49,0
31,3,1,0,54,0
19,12,1,0,49,0
29,8,1,0,49,0
25,8,1,0,39,0
40,9,1,0,44,0
26,9,1,0,43,0
11,8,1,0,49,0
32,8,1,0,43,0
32,8,1,0,92,0
16,8,1,0,54,0
13,9,1,0,44,0
37,8,1,0,49,0
39,9,1,0,39,0
19,12,1,1,37,0
23,8,1,0,39,0
15,8,1,0,39,0
30,11,1,0,64,0
23,0,1,0,39,0
20,8,1,0,59,0
11,10,0,1,41,0
20,8,0,0,54,0
31,9,0,1,37,0
14,8,0,0,49,0
9,12,0,1,49,0
6,8,0,0,54,0
22,12,0,0,59,0
